ABS,Adjustable_Seat,Bore,Cam_Type,Carburettor,Charging_Method,Clutch_Type,Colour,Compression_Ratio,Cooling,Country_of_Origin,Cylinders,Drive_Type,Dry_Weight,Engine_Config,Engine_Description,Engine_Type,Engine_Voltage,Exhaust_Config,First_Seen,Frame_Material,Front_Brake_Caliper(s),Front_Brake_Description,Front_Brake_Diameter,Front_Suspension,Front_Suspension_Travel,Fuel_Tank_Capacity,Gear_Change_Method,Gear_Number,Gear_Type,Ground_Clearance,Height,Ignition,Kilometers,Last_Modified,Last_Seen,Learner_Approved,Length,Linked_Braking_System,Make,Maximum_Power,Maximum_Power_RPM,Maximum_Torque,Maximum_Torque_RPM,Model,Network_ID,Postcode,Price,Rake_(Caster_Angle),Rear_Brake_Caliper(s),Rear_Brake_Description,Rear_Brake_Diameter,Rear_Suspension,Rear_Suspension_Travel,Recommended_RON,Registration_Expiry,Seat_Height,Seating_Capacity,Seating_Position,Side_Stand,Side_Stand_Start_Inhibitor,Starter,State,Stroke,Suburb,Swingarm_Type,Throttle_Bore,Traction_Control,Trail,URL,Valves_Per_Cylinder,Warranty_in_Months_from_First_Registration,Wet_Operational_Weight,Wheel_Type,Wheelbase,Width,Release_Year,Seller
No,,83.0,DOHC (Double Over Head Cam),DFI - Digital Fuel Injection,Engine,"Wet, Multi-disc",blue,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,1200.0,Piston,12.0,,2019-08-07,,,Twin semi-floating discs; Hydraulic,320.0,"43mm Inverted cartridge fork; Adjustable preload, rebound & compression damping",,20.0,Left foot lever,6.0,Manual,120.0,1185.0,,114466.0,,2019-09-08,No,2080.0,No,Kawasaki,130.0,10500.0,140.0,8000.0,ZX,OAG-AD-17483818,0.0,4990,23.5,,Single disc; Hydraulic,,Bottom-link Uni-Trak,,95.0,01/08/2019,,2.0,Forward,Yes,,Electric,QLD,55.4,none,Dual Sided,46.0,,93.0,https://www.bikesales.com.au/bikes/details/2004-kawasaki-zx-12r/OAG-AD-17483818/?Cr=10,4.0,0,,Black; 3-spoke,,725.0,2004,Dealer
Standard,,83.0,DOHC (Double Over Head Cam),DFI - Digital Fuel Injection; Dual throttle valves,Engine,"Wet, Multi-disc; A&S (Assist & Slipper)",green,10.0,Liquid,JAPAN,2.0,Chain,,Parallel,650.0,Piston,12.0,,2019-07-09,High-tensile steel,Double Piston,"Twin semi-floating petal discs, Hydraulic; Bosch 9.1M ABS",300.0,41mm Telescopic fork,125.0,15.0,Left foot lever,6.0,Manual,130.0,,Digital,547.0,2019-07-03,2019-07-12,No,2055.0,No,Kawasaki,50.2,8000.0,70.0,7000.0,Ninja_650_EX650K,OAG-AD-17368422,0.0,8990,24.5,Single Piston,"Single petal disc, Hydraulic; ABS",220.0,"Horizontal back-link; single-shock absorber, Adjustable preload",130.0,95.0,01/01/2020,790.0,,Upright,Standard,,Electric,VIC,60.0,none,Dual Sided,36.0,,110.0,https://www.bikesales.com.au/bikes/details/2017-kawasaki-ninja-650-krt-edition-ex650k/OAG-AD-17368422/?Cr=0,4.0,0,192.0,Black; 5-spoke,1410.0,740.0,2017,Private
Standard,,83.0,DOHC (Double Over Head Cam),DFI - Digital Fuel Injection; Dual throttle valves,Engine,"Wet, Multi-disc; A&S (Assist & Slipper)",black,10.0,Liquid,JAPAN,2.0,Chain,,Parallel,650.0,Piston,12.0,,2019-08-07,High-tensile steel,Double Piston,"Twin semi-floating petal discs, Hydraulic; Bosch 9.1M ABS",300.0,41mm Telescopic fork,125.0,15.0,Left foot lever,6.0,Manual,130.0,,Digital,31980.0,,2019-09-08,No,2055.0,No,Kawasaki,50.2,8000.0,70.0,7000.0,Ninja,OAG-AD-17458868,0.0,6290,24.5,Single Piston,"Single petal disc, Hydraulic; ABS",220.0,"Horizontal back-link; single-shock absorber, Adjustable preload",130.0,95.0,01/01/1970,790.0,,Upright,Standard,,Electric,QLD,60.0,none,Dual Sided,36.0,,110.0,https://www.bikesales.com.au/bikes/details/2017-kawasaki-ninja-650-krt-edition-ex650k/OAG-AD-17458868/?Cr=224,4.0,0,192.0,Black; 5-spoke,1410.0,740.0,2017,Dealer
No,,81.5,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, Multi-disc",red,11.0,Liquid,KOREA,2.0,Chain,,V-Twin,650.0,Piston,12.0,2 into 1,2019-07-01,Dual lateral oval bar,Four Piston,Twin semi-floating discs; Hydraulic (DOT4),300.0,"41mm Kayaba USD forks, Adustable rebound & compression",,17.0,Left foot lever,6.0,Manual,130.0,1095.0,,12500.0,2019-06-10,2019-07-01,Yes,2095.0,No,Hyosung,,,,,GT650R_EFI,SSE-AD-6136521,3109.0,2950,25.0,Double Piston,Single disc; Hydraulic,230.0,"Swingarm; Kayaba Monoshock, Adjustable preload",,95.0,01/09/2019,790.0,2.0,Forward,Yes,Standard,Electric,VIC,62.0,Doncaster east,Dual Sided,,,,https://www.bikesales.com.au/bikes/details/2014-hyosung-gt650r-efi/SSE-AD-6136521/?Cr=1,4.0,12,,"Black, 6-Spoke",1435.0,720.0,2014,Private
No,,81.5,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, Multi-disc",black,11.0,Liquid,KOREA,2.0,Chain,,V-Twin,650.0,Piston,12.0,2 into 1,2019-07-01,Dual lateral oval bar,Four Piston,Twin semi-floating discs; Hydraulic (DOT4),300.0,"41mm Kayaba USD forks, Adustable rebound & compression",,17.0,Left foot lever,6.0,Manual,130.0,1095.0,,7671.0,2019-05-17,2019-07-01,Yes,2095.0,No,Hyosung,,,,,GT650R_EFI,SSE-AD-6091440,5108.0,3000,25.0,Double Piston,Single disc; Hydraulic,230.0,"Swingarm; Kayaba Monoshock, Adjustable preload",,95.0,01/01/1970,790.0,2.0,Forward,Yes,Standard,Electric,SA,62.0,Paralowie,Dual Sided,,,,https://www.bikesales.com.au/bikes/details/2013-hyosung-gt650r-efi/SSE-AD-6091440/?Cr=3,4.0,12,,"Black, 6-Spoke",1435.0,720.0,2013,Private
No,,81.5,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, Multi-disc",red,11.0,Liquid,KOREA,2.0,Chain,,V-Twin,650.0,Piston,12.0,2 into 1,2019-07-01,Dual lateral oval bar,Four Piston,Twin semi-floating discs; Hydraulic (DOT4),300.0,"41mm Kayaba USD forks, Adustable rebound & compression",,17.0,Left foot lever,6.0,Manual,130.0,1095.0,,9700.0,,2019-07-01,Yes,2095.0,No,Hyosung,,,,,GT650R_EFI,OAG-AD-17131843,0.0,3490,25.0,,Single disc; Hydraulic,230.0,"Swingarm; Kayaba Monoshock, Adjustable preload",,95.0,01/09/2019,790.0,2.0,Forward,Yes,Standard,Electric,QLD,62.0,none,Dual Sided,,,,https://www.bikesales.com.au/bikes/details/2012-hyosung-gt650r-efi-my13/OAG-AD-17131843/?Cr=4,4.0,24,,"Black, 6-Spoke",1435.0,720.0,2012,Dealer
No,,81.5,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, Multi-disc",black,11.0,Liquid,KOREA,2.0,Chain,,V-Twin,650.0,Piston,12.0,2 into 1,2019-07-01,Dual lateral oval bar,Four Piston,Twin semi-floating discs; Hydraulic (DOT4),300.0,"41mm Kayaba USD forks, Adustable rebound & compression",,17.0,Left foot lever,6.0,Manual,130.0,1095.0,,6015.0,,2019-08-25,Yes,2095.0,No,Hyosung,40.0,750.0,70.0,8000.0,GT650R_EFI,OAG-AD-16808447,0.0,4999,25.0,Double Piston,Single disc; Hydraulic,230.0,"Swingarm; Kayaba Monoshock, Adjustable preload",,95.0,01/03/2019,790.0,2.0,Forward,Yes,Standard,Electric,NSW,62.0,none,Dual Sided,,No,,https://www.bikesales.com.au/bikes/details/2015-hyosung-gt650r-efi/OAG-AD-16808447/?Cr=8,4.0,12,,"Black, 6-Spoke",1435.0,720.0,2015,Dealer
No,,81.5,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, Multi-disc",red,11.0,Liquid,KOREA,2.0,Chain,,V-Twin,650.0,Piston,12.0,2 into 1,2019-07-01,Dual lateral oval bar,Four Piston,Twin semi-floating discs; Hydraulic (DOT4),300.0,"41mm Kayaba USD forks, Adustable rebound & compression",,17.0,Left foot lever,6.0,Manual,130.0,1095.0,,2300.0,,2019-09-08,Yes,2095.0,No,Hyosung,40.0,750.0,70.0,8000.0,GT650R_EFI,OAG-AD-16994374,0.0,6000,25.0,Double Piston,Single disc; Hydraulic,230.0,"Swingarm; Kayaba Monoshock, Adjustable preload",,95.0,01/01/1970,790.0,2.0,Forward,Yes,Standard,Electric,VIC,62.0,none,Dual Sided,,No,,https://www.bikesales.com.au/bikes/details/2017-hyosung-gt650r-efi-my15/OAG-AD-16994374/?Cr=9,4.0,12,,"Black, 6-Spoke",1435.0,720.0,2017,Dealer
No,,81.5,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, Multi-disc",black,11.0,Liquid,KOREA,2.0,Chain,,V-Twin,650.0,Piston,12.0,2 into 1,2019-07-12,Dual lateral oval bar,Four Piston,Twin semi-floating discs; Hydraulic (DOT4),300.0,"41mm Kayaba USD forks, Adustable rebound & compression",,17.0,Left foot lever,6.0,Manual,130.0,1095.0,,1842.0,2019-07-12,2019-07-12,Yes,2095.0,No,Hyosung,,,,,GT650R_EFI,OAG-AD-17410610,0.0,3490,25.0,Double Piston,Single disc; Hydraulic,230.0,"Swingarm; Kayaba Monoshock, Adjustable preload",,95.0,01/09/2019,790.0,2.0,Forward,Yes,Standard,Electric,ACT,62.0,none,Dual Sided,,,,https://www.bikesales.com.au/bikes/details/2013-hyosung-gt650r-efi/OAG-AD-17410610/?Cr=2,4.0,12,,"Black, 6-Spoke",1435.0,720.0,2013,Private
No,,81.5,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, Multi-disc",white,11.0,Liquid,KOREA,2.0,Chain,,V-Twin,650.0,Piston,12.0,2 into 1,2019-07-12,Dual lateral oval bar,Four Piston,Twin semi-floating discs; Hydraulic (DOT4),300.0,"41mm Kayaba USD forks, Adustable rebound & compression",,17.0,Left foot lever,6.0,Manual,130.0,1095.0,,7813.0,2019-07-11,2019-08-26,Yes,2095.0,No,Hyosung,40.0,750.0,70.0,8000.0,GT650R_EFI,OAG-AD-17409306,0.0,4495,25.0,Double Piston,Single disc; Hydraulic,230.0,"Swingarm; Kayaba Monoshock, Adjustable preload",,95.0,01/10/2019,790.0,2.0,Forward,Yes,Standard,Electric,QLD,62.0,none,Dual Sided,,No,,https://www.bikesales.com.au/bikes/details/2015-hyosung-gt650r-efi/OAG-AD-17409306/?Cr=5,4.0,12,,"Black, 6-Spoke",1435.0,720.0,2015,Private
No,,81.5,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, Multi-disc",white,11.0,Liquid,KOREA,2.0,Chain,,V-Twin,650.0,Piston,12.0,2 into 1,2019-08-07,Dual lateral oval bar,Four Piston,Twin semi-floating discs; Hydraulic (DOT4),300.0,"41mm Kayaba USD forks, Adustable rebound & compression",,17.0,Left foot lever,6.0,Manual,130.0,1095.0,,15600.0,2019-08-02,2019-08-07,Yes,2095.0,No,Hyosung,40.0,750.0,70.0,8000.0,GT650R_EFI,SSE-AD-6211719,3754.0,4000,25.0,Double Piston,Single disc; Hydraulic,230.0,"Swingarm; Kayaba Monoshock, Adjustable preload",,95.0,01/10/2019,790.0,2.0,Forward,Yes,Standard,Electric,VIC,62.0,Doreen,Dual Sided,,No,,https://www.bikesales.com.au/bikes/details/2015-hyosung-gt650r-efi/SSE-AD-6211719/?Cr=3,4.0,12,,"Black, 6-Spoke",1435.0,720.0,2015,Private
No,,81.5,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, Multi-disc",black,11.0,Liquid,KOREA,2.0,Chain,,V-Twin,650.0,Piston,12.0,2 into 1,2019-08-07,Dual lateral oval bar,Four Piston,Twin semi-floating discs; Hydraulic (DOT4),300.0,"41mm Kayaba USD forks, Adustable rebound & compression",,17.0,Left foot lever,6.0,Manual,130.0,1095.0,,2712.0,2019-08-04,2019-08-12,Yes,2095.0,No,Hyosung,40.0,750.0,70.0,8000.0,GT650R_EFI,SSE-AD-6229628,3136.0,4200,25.0,Double Piston,Single disc; Hydraulic,230.0,"Swingarm; Kayaba Monoshock, Adjustable preload",,95.0,01/11/2019,790.0,2.0,Forward,Yes,Standard,Electric,VIC,62.0,Croydon north,Dual Sided,,No,,https://www.bikesales.com.au/bikes/details/2015-hyosung-gt650r-efi/SSE-AD-6229628/?Cr=4,4.0,12,,"Black, 6-Spoke",1435.0,720.0,2015,Private
